"QE(SKb), created by Plot Digitizer, 2.4.1"
"Date: 6/7/11, 11:36:27 PM"


14
SKb,QE
1.11973E+1,2.68272E+1
1.15920E+1,3.03997E+1
1.16864E+1,3.07859E+1
1.20999E+1,3.09616E+1
1.21944E+1,3.12929E+1
1.24897E+1,3.16298E+1
1.25896E+1,3.32764E+1
1.25960E+1,3.17423E+1
1.25961E+1,3.14683E+1
1.28905E+1,3.44353E+1
1.29793E+1,3.38898E+1
1.29971E+1,3.37807E+1
1.31915E+1,3.55395E+1
1.30922E+1,3.21395E+1
